#,height,body_weight,body_fat_percentage,A_hand,Forearm_length,Upper_arm_length,Foot_length,Crim_length,Thigh_length,Head_and_neck_manager,Cervical_circumference,Upper_brachial_circumference,Front_arm_maximum_enclosure,Upper_chest_circumference,Abdominal_circumference,Femur_circumference,Crim_circumference,Owl_head_lower_edge_height,Shoulder_peak_height
MG009701,176.9,74.3,23.5,20,27,34,25,41.5,43,27,38,31,27,97,101,57.5,40.5,107,144
MG009801,170.3,76.3,25.9,17.5,24.5,32.5,24,38.5,41,24,42,31,26.5,97,95,56.5,36,103,137
MG010101,158.4,57,28.9,17.5,24.5,29,23.5,36,37,24.5,37,26.5,24,92.5,86,49,35.5,96,128
MG010201,156,48.2,13.8,16,22,27.5,22,36.5,37,25.5,34,25.5,25,88.5,79,45.5,33.5,94,126
MG010501,162.7,55.5,18.6,17.5,22.5,28,23.5,37.5,40.5,24,38,26,24.5,88,87,45.5,34.5,101.5,129
MG010801,182.5,66.4,15.6,19.5,26.5,33,27,42.5,44,29,37,28,24.5,93,95,51.5,36.5,110,147
MG011101,174.9,68.4,14.1,18.5,25.5,30.5,25.5,42.5,43.5,27.5,37,29,27.5,95.5,92.5,54.5,38,107,141
OS000101,141.4,46.1,36.1,15.7,23.6,23.8,21.7,34,39.6,20.6,33,25.6,22.6,91,91,39.2,31.2,83.5,110.5
OS000201,140.8,49.2,34.1,17.2,20.9,26,21,31,36.2,22.2,33.7,25.5,23.5,91.7,78,50.5,31.7,84.2,113.4
OS000301,157.6,73.6,28,18.2,23.4,29.2,24.7,36.2,39.9,21.7,44.5,30.4,28,104.4,97,59.2,38.8,93.4,127.4
OS000401,172.8,62.8,15.3,19.7,26.3,32,25,41.5,41.6,25.4,37.2,27.1,25,92,88,47.1,34.7,107.5,144.8
OS000501,151.6,50.8,28.8,17.1,22.2,25.8,23,35.3,43.1,23.8,35.5,23.8,21.9,87.5,83.5,44.2,32.8,97.4,123.2
OS000601,148.2,40.8,22.9,18.9,22.4,27,23.2,35.5,37,21.6,33,22.7,21,82,71.5,38.4,27.5,89.3,121.7
